method,variant_id,method_instance,k,r,descent_sharpness,n_runs,n_cells_observed,n_trace_available,trace_coverage,final_best_mean,final_best_median,first_floor_gen_trace_mean,floor_gens_trace_mean,descent_gens_trace_mean,sigma_volume_total_mean,sigma_volume_descent_mean,sigma_volume_floor_mean,descent_volume_fraction_mean,mean_log_contraction_descent_mean,std_log_contraction_descent_mean
proxy_sigma_controller,int_k090_r005_t005_020,proxy_sigma_controller:int_k090_r005_t005_020,0.9,0.05,2.1072103131565254,1800,36,720,0.4,31548.879067452486,73.38659103020053,73.36527777777778,23.502777777777776,72.48472222222222,51.345327927296545,48.99505014951877,2.3502777777777775,0.9470941714825677,0.004141857545460273,0.03498568236440804
proxy_sigma_controller,int_k090_r005_t008_025,proxy_sigma_controller:int_k090_r005_t008_025,0.9,0.05,2.1072103131565254,1800,36,720,0.4,27064.246953195325,70.54321146193101,67.05555555555556,29.244444444444444,66.13472222222222,46.70556040380425,43.781115959359795,2.924444444444444,0.9297634111381395,0.012356000673727123,0.04054197085917894
proxy_sigma_controller,int_k090_r005_t012_030,proxy_sigma_controller:int_k090_r005_t012_030,0.9,0.05,2.1072103131565254,1800,36,720,0.4,24017.692920625035,71.46035583682068,59.68472222222222,36.03472222222222,58.73888888888889,41.98452987885038,38.38105765662816,3.6034722222222224,0.9048708531396075,0.022072937572666068,0.04669645116313556
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,0.9,0.05,2.1072103131565254,1800,36,720,0.4,23095.895721903315,71.95174148950952,54.669444444444444,41.44027777777778,53.705555555555556,38.28030914235542,34.13628136457764,4.144027777777777,0.8809845946548993,0.031209672383723575,0.049734580993250246
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,0.9,0.1,1.0536051565782627,1800,36,720,0.4,28982.52565851107,103.60364283625918,50.644444444444446,46.05416666666667,49.65416666666667,50.812479464273785,41.60164613094046,9.210833333333332,0.8064481513291663,0.013603472783614578,0.04027493337398521
proxy_sigma_controller,int_k093_r010_t005_020,proxy_sigma_controller:int_k093_r010_t005_020,0.93,0.1,0.7257069283483537,1800,36,720,0.4,33713.7148494328,97.5125375047732,57.50555555555555,39.60138888888889,56.543055555555554,56.39903249805651,48.47875472027873,7.920277777777777,0.8471036444021179,0.0032119368111011054,0.026691737912702084
proxy_sigma_controller,int_k093_r010_t008_025,proxy_sigma_controller:int_k093_r010_t008_025,0.93,0.1,0.7257069283483537,1800,36,720,0.4,31517.863970389128,105.70899490384652,51.94166666666667,45.90555555555556,50.954166666666666,52.159556352585355,42.97844524147425,9.18111111111111,0.8116666726371337,0.010605537648841265,0.030373660238992725
proxy_sigma_controller,int_k093_r010_t012_030,proxy_sigma_controller:int_k093_r010_t012_030,0.93,0.1,0.7257069283483537,1800,36,720,0.4,26616.609735141694,102.27282027699113,46.451388888888886,50.888888888888886,45.454166666666666,48.263850960949405,38.08607318317163,10.177777777777775,0.776183021057945,0.019636061405269828,0.03358825601343025
proxy_sigma_controller,int_k093_r010_t016_035,proxy_sigma_controller:int_k093_r010_t016_035,0.93,0.1,0.7257069283483537,1800,36,720,0.4,23431.735743403857,102.85515325853179,42.6375,55.03472222222222,41.6375,45.43589117566366,34.42894673121921,11.006944444444441,0.7450308888885064,0.027678042054501063,0.03436969536101217
proxy_sigma_controller,int_k095_r020_t005_020,proxy_sigma_controller:int_k095_r020_t005_020,0.95,0.2,0.25646647193775285,1800,36,720,0.4,48900.74313186009,152.09376839128058,41.99583333333333,56.00416666666667,40.99583333333333,67.99146670063206,45.589800033965396,22.401666666666664,0.6580881325930069,0.0018342834645822734,0.021905750999354427
proxy_sigma_controller,int_k095_r020_t008_025,proxy_sigma_controller:int_k095_r020_t008_025,0.95,0.2,0.25646647193775285,1800,36,720,0.4,42737.4627485152,148.86782924321022,37.88333333333333,60.798611111111114,36.88333333333333,64.49434051788019,40.174896073435754,24.319444444444436,0.6121872099399419,0.008713795968320425,0.02306930176272026
proxy_sigma_controller,int_k095_r020_t012_030,proxy_sigma_controller:int_k095_r020_t012_030,0.95,0.2,0.25646647193775285,1800,36,720,0.4,41291.6785509951,152.04601964636237,34.56805555555555,64.46944444444445,33.56805555555555,61.755258663057276,35.9674808852795,25.78777777777777,0.5727819240784876,0.01677437308791707,0.02411986053739406
proxy_sigma_controller,int_k097_r005_t005_020,proxy_sigma_controller:int_k097_r005_t005_020,0.97,0.05,0.6091841496941715,1800,36,720,0.4,45020.17803178789,72.52394978981454,78.3013888888889,19.170833333333334,77.49027777777778,55.94308472874476,54.02600139541142,1.9170833333333337,0.9588821058887592,-0.0009717792418558691,0.01672764427332684
proxy_sigma_controller,int_k097_r005_t008_025,proxy_sigma_controller:int_k097_r005_t008_025,0.97,0.05,0.6091841496941715,1800,36,720,0.4,34592.569643834264,69.62930277456081,73.90833333333333,22.927777777777777,73.05694444444444,52.318556876106506,50.02577909832872,2.292777777777778,0.948811221141013,0.003993469381234462,0.01697857999044686
proxy_sigma_controller,int_k097_r005_t012_030,proxy_sigma_controller:int_k097_r005_t012_030,0.97,0.05,0.6091841496941715,1800,36,720,0.4,32159.017260824723,69.88346079655234,68.9263888888889,27.398611111111112,68.025,48.35550296023212,45.61564184912101,2.739861111111111,0.9365119967512123,0.009211667513028368,0.017402126801514806
proxy_sigma_controller,int_k097_r005_t016_035,proxy_sigma_controller:int_k097_r005_t016_035,0.97,0.05,0.6091841496941715,1800,36,720,0.4,28105.60307854966,63.010323147224184,65.55277777777778,30.71388888888889,64.63194444444444,45.82942056482225,42.75803167593336,3.071388888888889,0.9264750678884079,0.01351492912731433,0.016976423388139344
